Authors,Title,Year,Source title,Volume,Issue,Page start,Cited by,DOI,Affiliations,Abstract,Author Keywords,References,Document Type,Language of Original Document,Publisher,ISSN
Epsilon D.; Kapa A.; Beta D.; Beta E.,The political economy of Argentina: Tax reform and the role of Tax competition [registro sintetico 070],2008,Journal of Public Economics,1,1,1,15,10.5555/exemplo.0070,"Universidade Federal de Pernambuco, Recife, Brazil; Universidade de Sao Paulo, Sao Paulo, Brazil","Resumo sintetico para teste do pipeline. Trata de tax reform, tax competition em entes subnacionais.",tax reform; tax competition; local government; fiscal capacity,"ETA F., 1981, REVISTA DE ADMINISTRACAO PUBLICA, V41, P371; BETA D., 1999, INTERNATIONAL TAX AND PUBLIC FINANCE, V20, P211; IOTA B., 1987, JOURNAL OF PUBLIC ECONOMICS, V29, P240; EPSILON E., 1993, REVISTA DE ADMINISTRACAO PUBLICA, V40, P72; GAMA C., 1998, REVISTA DE ADMINISTRACAO PUBLICA, V56, P9; ETA F., 2003, NATIONAL TAX JOURNAL, V18, P275; TETA C., 2006, GESTION Y POLITICA PUBLICA, V56, P110; ETA A., 1992, PUBLIUS: THE JOURNAL OF FEDERALISM, V47, P101; BETA A., 1998, INTERNATIONAL TAX AND PUBLIC FINANCE, V20, P193; DELTA D., 1989, REVISTA DE ADMINISTRACAO PUBLICA, V43, P352; TETA F., 1991, JOURNAL OF PUBLIC ECONOMICS, V25, P56; DELTA A., 1987, REVISTA DE ADMINISTRACAO PUBLICA, V8, P299; TETA D., 1999, JOURNAL OF PUBLIC ECONOMICS, V37, P215; GAMA B., 2008, NOVA ECONOMIA, V38, P260; IOTA D., 1988, JOURNAL OF PUBLIC ECONOMICS, V25, P162; TETA F., 1992, NATIONAL TAX JOURNAL, V32, P289; IOTA B., 1999, NATIONAL TAX JOURNAL, V53, P82; ALFA C., 1987, GESTION Y POLITICA PUBLICA, V6, P111",Article,English,Editora Sintetica,00472727
Teta E.; Eta E.; Beta A.,Measuring Soft budget constraint across municipalities: Intergovernmental transfers and Local government [registro sintetico 071],2009,Publius: The Journal of Federalism,1,1,1,23,10.5555/exemplo.0071,"Universidad de Buenos Aires, Buenos Aires, Argentina","Resumo sintetico para teste do pipeline. Trata de fiscal decentralization, intergovernmental transfers em entes subnacionais.",fiscal decentralization; intergovernmental transfers; municipal finance; revenue sharing; regional inequality,"BETA A., 1981, PUBLIUS: THE JOURNAL OF FEDERALISM, V21, P18; ETA F., 2002, JOURNAL OF PUBLIC ECONOMICS, V24, P229; DELTA C., 1984, PUBLIUS: THE JOURNAL OF FEDERALISM, V12, P82; TETA F., 2007, JOURNAL OF PUBLIC ECONOMICS, V49, P69; KAPA F., 1999, GESTION Y POLITICA PUBLICA, V26, P391; IOTA A., 1985, JOURNAL OF PUBLIC ECONOMICS, V24, P345; EPSILON E., 1986, NOVA ECONOMIA, V52, P52; IOTA C., 1991, INTERNATIONAL TAX AND PUBLIC FINANCE, V40, P164; ALFA A., 1993, NOVA ECONOMIA, V56, P221; ZETA C., 1994, INTERNATIONAL TAX AND PUBLIC FINANCE, V37, P361; DELTA C., 1985, NOVA ECONOMIA, V41, P180; IOTA D., 1997, JOURNAL OF PUBLIC ECONOMICS, V53, P357; ETA A., 2006, NATIONAL TAX JOURNAL, V37, P386; ALFA E., 1996, NOVA ECONOMIA, V25, P323; ZETA D., 1985, PUBLIUS: THE JOURNAL OF FEDERALISM, V51, P333",Article,English,Editora Sintetica,00485950
Teta A.; Teta B.,Tax competition revisited: Fiscal equalization under Brazil [registro sintetico 072],2018,Journal of Public Economics,1,1,1,12,10.5555/exemplo.0072,"Universidad Nacional Autonoma de Mexico, Mexico; Universidade de Sao Paulo, Sao Paulo, Brazil","Resumo sintetico para teste do pipeline. Trata de fiscal capacity, state capacity em entes subnacionais.",fiscal capacity; state capacity; fiscal federalism; soft budget constraint,"EPSILON D., 1998, NATIONAL TAX JOURNAL, V7, P152; ZETA F., 1994, REVISTA DE ADMINISTRACAO PUBLICA, V10, P89; ETA F., 1997, NATIONAL TAX JOURNAL, V24, P385; KAPA B., 2018, NATIONAL TAX JOURNAL, V20, P129; IOTA D., 1996, NOVA ECONOMIA, V57, P233; EPSILON F., 2009, NOVA ECONOMIA, V59, P288; ZETA C., 2009, NOVA ECONOMIA, V1, P114; ZETA B., 1998, GESTION Y POLITICA PUBLICA, V13, P221; EPSILON C., 1988, NOVA ECONOMIA, V54, P332; EPSILON C., 1988, REVISTA DE ADMINISTRACAO PUBLICA, V58, P140; GAMA B., 1999, NATIONAL TAX JOURNAL, V41, P189; ZETA A., 2004, INTERNATIONAL TAX AND PUBLIC FINANCE, V28, P129; BETA E., 2017, PUBLIUS: THE JOURNAL OF FEDERALISM, V32, P157; ZETA E., 2004, GESTION Y POLITICA PUBLICA, V53, P371",Article,English,Editora Sintetica,00472727
Kapa C.; Iota B.; Teta D.; Zeta B.,The political economy of Fiscal capacity: Fiscal decentralization and the role of Tax competition [registro sintetico 073],1999,Nova Economia,1,1,1,57,10.5555/exemplo.0073,"Universidade de Sao Paulo, Sao Paulo, Brazil","Resumo sintetico para teste do pipeline. Trata de regional inequality, local government em entes subnacionais.",regional inequality; local government; fiscal equalization,"TETA C., 1997, PUBLIUS: THE JOURNAL OF FEDERALISM, V24, P341; ALFA B., 1991, NOVA ECONOMIA, V15, P218; IOTA D., 1976, NATIONAL TAX JOURNAL, V46, P176; ALFA A., 1978, JOURNAL OF PUBLIC ECONOMICS, V8, P249; GAMA E., 1986, INTERNATIONAL TAX AND PUBLIC FINANCE, V51, P324; BETA E., 1989, INTERNATIONAL TAX AND PUBLIC FINANCE, V56, P193; GAMA C., 1976, REVISTA DE ADMINISTRACAO PUBLICA, V49, P172; TETA A., 1999, PUBLIUS: THE JOURNAL OF FEDERALISM, V22, P204; DELTA C., 1970, PUBLIUS: THE JOURNAL OF FEDERALISM, V58, P251; DELTA B., 1987, REVISTA DE ADMINISTRACAO PUBLICA, V8, P353; TETA F., 1977, REVISTA DE ADMINISTRACAO PUBLICA, V49, P52; ZETA B., 1973, INTERNATIONAL TAX AND PUBLIC FINANCE, V51, P287; ZETA C., 1991, NATIONAL TAX JOURNAL, V27, P54; IOTA A., 1979, NOVA ECONOMIA, V25, P237; TETA C., 1995, JOURNAL OF PUBLIC ECONOMICS, V20, P280; ALFA B., 1985, INTERNATIONAL TAX AND PUBLIC FINANCE, V6, P105; ZETA F., 1988, PUBLIUS: THE JOURNAL OF FEDERALISM, V13, P373; BETA F., 1972, REVISTA DE ADMINISTRACAO PUBLICA, V46, P373; ALFA E., 1974, NATIONAL TAX JOURNAL, V34, P250; TETA E., 1991, GESTION Y POLITICA PUBLICA, V17, P141; ALFA D., 1999, REVISTA DE ADMINISTRACAO PUBLICA, V18, P271; ALFA C., 1974, PUBLIUS: THE JOURNAL OF FEDERALISM, V14, P379; DELTA B., 1974, NATIONAL TAX JOURNAL, V58, P326; KAPA C., 1974, PUBLIUS: THE JOURNAL OF FEDERALISM, V27, P186; ALFA D., 1983, NOVA ECONOMIA, V4, P260",Article,English,Editora Sintetica,01036351
Teta E.,Local government revisited: Argentina under Tax reform [registro sintetico 074],2025,Publius: The Journal of Federalism,1,1,1,0,10.5555/exemplo.0074,"Universidade de Sao Paulo, Sao Paulo, Brazil; Universidad Nacional Autonoma de Mexico, Mexico","Resumo sintetico para teste do pipeline. Trata de tax reform, fiscal federalism em entes subnacionais.",tax reform; fiscal federalism; tax competition; soft budget constraint; intergovernmental transfers,"TETA F., 2006, REVISTA DE ADMINISTRACAO PUBLICA, V7, P262; IOTA E., 2000, REVISTA DE ADMINISTRACAO PUBLICA, V14, P71; ALFA A., 2005, INTERNATIONAL TAX AND PUBLIC FINANCE, V21, P117; BETA A., 2008, INTERNATIONAL TAX AND PUBLIC FINANCE, V3, P48; TETA D., 2022, NOVA ECONOMIA, V45, P374; DELTA D., 2004, GESTION Y POLITICA PUBLICA, V47, P325; DELTA B., 2012, NOVA ECONOMIA, V39, P238; TETA B., 1996, JOURNAL OF PUBLIC ECONOMICS, V36, P107; ZETA A., 2018, INTERNATIONAL TAX AND PUBLIC FINANCE, V29, P55; BETA F., 2018, NOVA ECONOMIA, V22, P332; IOTA E., 2013, REVISTA DE ADMINISTRACAO PUBLICA, V10, P351",Article,English,Editora Sintetica,00485950
Kapa A.; Teta E.; Eta E.,The political economy of Canada: Argentina and the role of Soft budget constraint [registro sintetico 075],2020,Nova Economia,1,1,1,7,10.5555/exemplo.0075,"Universidade Federal de Pernambuco, Recife, Brazil; Georgia State University, Atlanta, United States","Resumo sintetico para teste do pipeline. Trata de intergovernmental transfers, subnational debt em entes subnacionais.",intergovernmental transfers; subnational debt; tax competition,"ZETA C., 2009, NATIONAL TAX JOURNAL, V29, P9; ZETA F., 1993, PUBLIUS: THE JOURNAL OF FEDERALISM, V32, P230; GAMA E., 1993, JOURNAL OF PUBLIC ECONOMICS, V3, P123; KAPA A., 1994, GESTION Y POLITICA PUBLICA, V4, P364; EPSILON D., 2011, JOURNAL OF PUBLIC ECONOMICS, V59, P30; DELTA F., 1997, PUBLIUS: THE JOURNAL OF FEDERALISM, V17, P358; TETA D., 2002, NATIONAL TAX JOURNAL, V15, P96; ZETA A., 2001, REVISTA DE ADMINISTRACAO PUBLICA, V53, P362; TETA B., 2020, NATIONAL TAX JOURNAL, V28, P375; DELTA A., 2013, GESTION Y POLITICA PUBLICA, V29, P341; KAPA D., 2015, GESTION Y POLITICA PUBLICA, V40, P67; BETA F., 2008, NATIONAL TAX JOURNAL, V27, P210; DELTA E., 2019, NOVA ECONOMIA, V47, P63; KAPA B., 2004, JOURNAL OF PUBLIC ECONOMICS, V14, P294; ZETA A., 2004, REVISTA DE ADMINISTRACAO PUBLICA, V53, P94; IOTA C., 2020, NOVA ECONOMIA, V5, P168",Article,English,Editora Sintetica,01036351
Beta C.,Municipal finance and Tax competition in subnational governments: evidence from Subnational debt [registro sintetico 076],2024,Revista de Administracao Publica,1,1,1,0,10.5555/exemplo.0076,"Universidade Federal de Pernambuco, Recife, Brazil; Georgia State University, Atlanta, United States","Resumo sintetico para teste do pipeline. Trata de regional inequality, fiscal equalization em entes subnacionais.",regional inequality; fiscal equalization; intergovernmental transfers; municipal finance,"EPSILON E., 2015, JOURNAL OF PUBLIC ECONOMICS, V29, P372; GAMA C., 2002, NOVA ECONOMIA, V29, P109; KAPA B., 2012, INTERNATIONAL TAX AND PUBLIC FINANCE, V29, P68; DELTA F., 2004, INTERNATIONAL TAX AND PUBLIC FINANCE, V26, P389; EPSILON D., 2021, PUBLIUS: THE JOURNAL OF FEDERALISM, V26, P80; ZETA A., 2007, GESTION Y POLITICA PUBLICA, V59, P331; EPSILON B., 2023, REVISTA DE ADMINISTRACAO PUBLICA, V22, P350; DELTA D., 2002, GESTION Y POLITICA PUBLICA, V9, P66; ZETA F., 2020, PUBLIUS: THE JOURNAL OF FEDERALISM, V33, P270; KAPA B., 1998, INTERNATIONAL TAX AND PUBLIC FINANCE, V42, P173; IOTA C., 1994, NOVA ECONOMIA, V46, P383; ETA B., 1996, JOURNAL OF PUBLIC ECONOMICS, V6, P109; BETA C., 2011, PUBLIUS: THE JOURNAL OF FEDERALISM, V21, P307; DELTA C., 2020, JOURNAL OF PUBLIC ECONOMICS, V51, P178; ALFA F., 2017, REVISTA DE ADMINISTRACAO PUBLICA, V42, P337; BETA E., 1995, NATIONAL TAX JOURNAL, V11, P290",Article,English,Editora Sintetica,00347612
Kapa D.,Measuring Tax effort across municipalities: Revenue sharing and State capacity [registro sintetico 077],2010,Gestion y Politica Publica,1,1,1,29,10.5555/exemplo.0077,"Georgia State University, Atlanta, United States; Universidade Federal de Pernambuco, Recife, Brazil","Resumo sintetico para teste do pipeline. Trata de revenue sharing, fiscal capacity em entes subnacionais.",revenue sharing; fiscal capacity; tax effort,"EPSILON F., 1983, NOVA ECONOMIA, V13, P310; ZETA C., 1988, JOURNAL OF PUBLIC ECONOMICS, V40, P45; DELTA A., 1982, REVISTA DE ADMINISTRACAO PUBLICA, V25, P180; KAPA B., 2000, PUBLIUS: THE JOURNAL OF FEDERALISM, V22, P138; DELTA F., 1985, GESTION Y POLITICA PUBLICA, V41, P337; IOTA E., 1989, INTERNATIONAL TAX AND PUBLIC FINANCE, V37, P57; IOTA B., 1980, INTERNATIONAL TAX AND PUBLIC FINANCE, V24, P264; IOTA D., 1984, REVISTA DE ADMINISTRACAO PUBLICA, V47, P215; KAPA D., 1985, NATIONAL TAX JOURNAL, V24, P45; ALFA F., 1990, GESTION Y POLITICA PUBLICA, V10, P14; KAPA A., 2005, INTERNATIONAL TAX AND PUBLIC FINANCE, V9, P156; EPSILON F., 2010, NATIONAL TAX JOURNAL, V33, P352; GAMA D., 2000, INTERNATIONAL TAX AND PUBLIC FINANCE, V35, P338; EPSILON C., 1985, INTERNATIONAL TAX AND PUBLIC FINANCE, V29, P85; TETA D., 1985, INTERNATIONAL TAX AND PUBLIC FINANCE, V20, P198; GAMA E., 1990, REVISTA DE ADMINISTRACAO PUBLICA, V16, P207; ZETA A., 1996, JOURNAL OF PUBLIC ECONOMICS, V39, P234; BETA E., 1997, GESTION Y POLITICA PUBLICA, V41, P294; BETA E., 1988, REVISTA DE ADMINISTRACAO PUBLICA, V7, P78; ZETA C., 2007, PUBLIUS: THE JOURNAL OF FEDERALISM, V2, P276; BETA A., 1985, NOVA ECONOMIA, V60, P216; EPSILON C., 1981, INTERNATIONAL TAX AND PUBLIC FINANCE, V48, P390; EPSILON F., 1983, JOURNAL OF PUBLIC ECONOMICS, V23, P176; GAMA D., 1994, NOVA ECONOMIA, V52, P23; ZETA C., 1990, NOVA ECONOMIA, V33, P52",Article,English,Editora Sintetica,14054981
Zeta F.,The political economy of Intergovernmental transfers: Fiscal equalization and the role of Canada [registro sintetico 078],2021,Revista de Administracao Publica,1,1,1,10,10.5555/exemplo.0078,"Georgia State University, Atlanta, United States; University of Toronto, Toronto, Canada","Resumo sintetico para teste do pipeline. Trata de tax effort, tax competition em entes subnacionais.",tax effort; tax competition; municipal finance; subnational debt; regional inequality,"ALFA A., 2016, REVISTA DE ADMINISTRACAO PUBLICA, V19, P284; IOTA B., 2004, REVISTA DE ADMINISTRACAO PUBLICA, V35, P47; GAMA B., 1994, NOVA ECONOMIA, V9, P345; TETA F., 2010, GESTION Y POLITICA PUBLICA, V54, P355; ALFA B., 1992, INTERNATIONAL TAX AND PUBLIC FINANCE, V1, P371; DELTA B., 2003, REVISTA DE ADMINISTRACAO PUBLICA, V57, P395; GAMA B., 2018, REVISTA DE ADMINISTRACAO PUBLICA, V55, P389; KAPA D., 2021, PUBLIUS: THE JOURNAL OF FEDERALISM, V52, P143; ALFA B., 2012, JOURNAL OF PUBLIC ECONOMICS, V20, P287; TETA A., 2002, PUBLIUS: THE JOURNAL OF FEDERALISM, V57, P65; KAPA D., 1995, REVISTA DE ADMINISTRACAO PUBLICA, V39, P339; IOTA C., 2021, NOVA ECONOMIA, V1, P365; TETA E., 2018, REVISTA DE ADMINISTRACAO PUBLICA, V10, P5; ZETA D., 2013, GESTION Y POLITICA PUBLICA, V53, P204; ZETA E., 1991, NOVA ECONOMIA, V32, P24; BETA D., 1993, NATIONAL TAX JOURNAL, V37, P205; ZETA B., 1999, NOVA ECONOMIA, V29, P332; BETA D., 2020, REVISTA DE ADMINISTRACAO PUBLICA, V54, P287; TETA E., 2000, REVISTA DE ADMINISTRACAO PUBLICA, V39, P277; ZETA D., 2018, NOVA ECONOMIA, V14, P221; BETA D., 1994, REVISTA DE ADMINISTRACAO PUBLICA, V23, P365",Article,English,Editora Sintetica,00347612
Delta B.; Delta B.; Delta C.; Alfa D.,Fiscal equalization revisited: Subnational debt under Brazil [registro sintetico 079],2005,Publius: The Journal of Federalism,1,1,1,22,10.5555/exemplo.0079,"Universidad Nacional Autonoma de Mexico, Mexico; Universidad de Buenos Aires, Buenos Aires, Argentina","Resumo sintetico para teste do pipeline. Trata de local government, fiscal federalism em entes subnacionais.",local government; fiscal federalism; tax reform; tax effort,"ALFA A., 1989, REVISTA DE ADMINISTRACAO PUBLICA, V21, P96; IOTA A., 2002, NOVA ECONOMIA, V53, P251; GAMA B., 1983, JOURNAL OF PUBLIC ECONOMICS, V48, P313; KAPA A., 1985, NATIONAL TAX JOURNAL, V38, P181; ZETA D., 1994, GESTION Y POLITICA PUBLICA, V8, P174; ZETA F., 1985, GESTION Y POLITICA PUBLICA, V20, P73; GAMA A., 1993, GESTION Y POLITICA PUBLICA, V53, P33; TETA E., 1998, JOURNAL OF PUBLIC ECONOMICS, V15, P257; BETA A., 1986, INTERNATIONAL TAX AND PUBLIC FINANCE, V27, P274; EPSILON C., 1983, REVISTA DE ADMINISTRACAO PUBLICA, V2, P39; IOTA C., 1997, REVISTA DE ADMINISTRACAO PUBLICA, V42, P185; BETA E., 1992, NOVA ECONOMIA, V25, P295; EPSILON A., 1986, PUBLIUS: THE JOURNAL OF FEDERALISM, V2, P152; EPSILON A., 1986, NATIONAL TAX JOURNAL, V38, P31; DELTA E., 1997, REVISTA DE ADMINISTRACAO PUBLICA, V42, P235; BETA E., 2004, JOURNAL OF PUBLIC ECONOMICS, V5, P273; EPSILON C., 1978, INTERNATIONAL TAX AND PUBLIC FINANCE, V5, P380; TETA D., 2000, INTERNATIONAL TAX AND PUBLIC FINANCE, V12, P367; IOTA C., 2004, REVISTA DE ADMINISTRACAO PUBLICA, V22, P374; TETA F., 1999, GESTION Y POLITICA PUBLICA, V17, P210",Article,English,Editora Sintetica,00485950
Beta A.; Iota E.,Measuring Tax reform across municipalities: Tax competition and Fiscal federalism [registro sintetico 080],2019,International Tax and Public Finance,1,1,1,14,10.5555/exemplo.0080,"Georgia State University, Atlanta, United States; Universidad de Buenos Aires, Buenos Aires, Argentina","Resumo sintetico para teste do pipeline. Trata de fiscal federalism, intergovernmental transfers em entes subnacionais.",fiscal federalism; intergovernmental transfers; state capacity; fiscal capacity; subnational debt,"GAMA B., 1997, PUBLIUS: THE JOURNAL OF FEDERALISM, V52, P304; GAMA F., 1989, GESTION Y POLITICA PUBLICA, V2, P307; ZETA C., 1989, NATIONAL TAX JOURNAL, V28, P135; DELTA B., 2007, NATIONAL TAX JOURNAL, V29, P108; BETA F., 2011, INTERNATIONAL TAX AND PUBLIC FINANCE, V7, P118; DELTA A., 2003, REVISTA DE ADMINISTRACAO PUBLICA, V8, P167; ETA C., 2004, INTERNATIONAL TAX AND PUBLIC FINANCE, V51, P206; TETA F., 1994, JOURNAL OF PUBLIC ECONOMICS, V25, P230; GAMA E., 1992, NOVA ECONOMIA, V41, P50; TETA E., 2018, PUBLIUS: THE JOURNAL OF FEDERALISM, V7, P38; DELTA F., 2014, JOURNAL OF PUBLIC ECONOMICS, V55, P66; BETA E., 2010, GESTION Y POLITICA PUBLICA, V27, P242; TETA D., 2010, INTERNATIONAL TAX AND PUBLIC FINANCE, V40, P217; TETA B., 2018, PUBLIUS: THE JOURNAL OF FEDERALISM, V19, P282; BETA E., 2017, REVISTA DE ADMINISTRACAO PUBLICA, V11, P169; ZETA B., 2008, NOVA ECONOMIA, V53, P379; DELTA B., 2003, NOVA ECONOMIA, V53, P201; IOTA D., 2002, REVISTA DE ADMINISTRACAO PUBLICA, V42, P74; DELTA B., 2000, GESTION Y POLITICA PUBLICA, V22, P34; BETA C., 1992, PUBLIUS: THE JOURNAL OF FEDERALISM, V12, P382; TETA F., 2019, NOVA ECONOMIA, V30, P1; ETA A., 2007, NATIONAL TAX JOURNAL, V34, P222; DELTA A., 2005, NOVA ECONOMIA, V9, P104; ZETA D., 1999, INTERNATIONAL TAX AND PUBLIC FINANCE, V23, P333; KAPA B., 2006, JOURNAL OF PUBLIC ECONOMICS, V13, P400",Article,English,Editora Sintetica,09275940
Zeta F.; Iota A.,Argentina revisited: Tax reform under Regional inequality [registro sintetico 081],2024,Revista de Administracao Publica,1,1,1,1,10.5555/exemplo.0081,"Universidade Federal de Pernambuco, Recife, Brazil","Resumo sintetico para teste do pipeline. Trata de municipal finance, local government em entes subnacionais.",municipal finance; local government; fiscal federalism,"KAPA F., 2008, INTERNATIONAL TAX AND PUBLIC FINANCE, V38, P19; GAMA F., 2016, NOVA ECONOMIA, V30, P161; KAPA C., 2018, GESTION Y POLITICA PUBLICA, V35, P240; ALFA C., 2004, JOURNAL OF PUBLIC ECONOMICS, V2, P35; BETA D., 2020, GESTION Y POLITICA PUBLICA, V1, P269; ETA A., 2019, NOVA ECONOMIA, V31, P47; BETA C., 1994, PUBLIUS: THE JOURNAL OF FEDERALISM, V6, P273; IOTA B., 2006, GESTION Y POLITICA PUBLICA, V15, P62",Article,English,Editora Sintetica,00347612
Iota D.,The political economy of Fiscal capacity: Canada and the role of Subnational debt [registro sintetico 082],2020,Revista de Administracao Publica,1,1,1,4,10.5555/exemplo.0082,"Universidade Federal de Pernambuco, Recife, Brazil","Resumo sintetico para teste do pipeline. Trata de state capacity, regional inequality em entes subnacionais.",state capacity; regional inequality; fiscal equalization; tax reform; intergovernmental transfers,"ZETA D., 2011, INTERNATIONAL TAX AND PUBLIC FINANCE, V33, P255; DELTA F., 1999, REVISTA DE ADMINISTRACAO PUBLICA, V1, P393; DELTA C., 2003, INTERNATIONAL TAX AND PUBLIC FINANCE, V48, P231; DELTA C., 1991, GESTION Y POLITICA PUBLICA, V22, P378; ETA E., 1997, PUBLIUS: THE JOURNAL OF FEDERALISM, V60, P291; ETA A., 1992, NATIONAL TAX JOURNAL, V7, P160; IOTA A., 2005, NATIONAL TAX JOURNAL, V56, P368; BETA F., 2012, REVISTA DE ADMINISTRACAO PUBLICA, V3, P106; ALFA F., 1994, GESTION Y POLITICA PUBLICA, V57, P318",Article,English,Editora Sintetica,00347612
Eta B.; Epsilon C.; Gama F.; Zeta F.,The political economy of Canada: Fiscal capacity and the role of Brazil [registro sintetico 083],2017,Revista de Administracao Publica,1,1,1,6,10.5555/exemplo.0083,"Universidade Federal de Pernambuco, Recife, Brazil; University of Toronto, Toronto, Canada","Resumo sintetico para teste do pipeline. Trata de regional inequality, intergovernmental transfers em entes subnacionais.",regional inequality; intergovernmental transfers; fiscal capacity; local government,"KAPA E., 2012, GESTION Y POLITICA PUBLICA, V36, P188; ALFA F., 2004, GESTION Y POLITICA PUBLICA, V47, P65; BETA A., 1994, NOVA ECONOMIA, V43, P328; GAMA A., 1992, PUBLIUS: THE JOURNAL OF FEDERALISM, V11, P4; IOTA C., 1998, PUBLIUS: THE JOURNAL OF FEDERALISM, V53, P106; TETA A., 2013, JOURNAL OF PUBLIC ECONOMICS, V44, P125; ZETA B., 2000, JOURNAL OF PUBLIC ECONOMICS, V24, P168; ZETA B., 1987, REVISTA DE ADMINISTRACAO PUBLICA, V54, P159; KAPA D., 2008, NATIONAL TAX JOURNAL, V42, P120; BETA D., 2001, NOVA ECONOMIA, V14, P248; GAMA A., 2017, REVISTA DE ADMINISTRACAO PUBLICA, V30, P288; BETA A., 1997, INTERNATIONAL TAX AND PUBLIC FINANCE, V40, P278; DELTA F., 2006, REVISTA DE ADMINISTRACAO PUBLICA, V52, P194; IOTA A., 2008, NATIONAL TAX JOURNAL, V13, P294; EPSILON A., 2015, GESTION Y POLITICA PUBLICA, V8, P88; TETA C., 1990, INTERNATIONAL TAX AND PUBLIC FINANCE, V37, P196; EPSILON B., 1995, PUBLIUS: THE JOURNAL OF FEDERALISM, V37, P60; ETA B., 1995, PUBLIUS: THE JOURNAL OF FEDERALISM, V27, P52; ETA E., 1992, INTERNATIONAL TAX AND PUBLIC FINANCE, V9, P143; GAMA F., 2008, NOVA ECONOMIA, V10, P269; DELTA D., 2004, INTERNATIONAL TAX AND PUBLIC FINANCE, V14, P124; GAMA B., 1999, NATIONAL TAX JOURNAL, V31, P180; ZETA F., 2008, NATIONAL TAX JOURNAL, V15, P33; KAPA E., 1987, NATIONAL TAX JOURNAL, V44, P49; KAPA E., 2017, REVISTA DE ADMINISTRACAO PUBLICA, V49, P42; BETA C., 1994, REVISTA DE ADMINISTRACAO PUBLICA, V27, P272; ZETA C., 2017, NOVA ECONOMIA, V26, P290; ETA E., 2004, GESTION Y POLITICA PUBLICA, V45, P84; IOTA F., 2012, NOVA ECONOMIA, V60, P23",Article,English,Editora Sintetica,00347612
Delta B.; Kapa D.,Tax reform revisited: Tax effort under Fiscal equalization [registro sintetico 084],2025,International Tax and Public Finance,1,1,1,1,10.5555/exemplo.0084,"Georgia State University, Atlanta, United States","Resumo sintetico para teste do pipeline. Trata de regional inequality, revenue sharing em entes subnacionais.",regional inequality; revenue sharing; tax competition; fiscal capacity,"TETA D., 2006, REVISTA DE ADMINISTRACAO PUBLICA, V2, P335; TETA B., 2012, GESTION Y POLITICA PUBLICA, V20, P153; BETA D., 2010, NATIONAL TAX JOURNAL, V5, P88; TETA D., 2006, PUBLIUS: THE JOURNAL OF FEDERALISM, V33, P142; IOTA C., 2007, REVISTA DE ADMINISTRACAO PUBLICA, V9, P235; ALFA F., 2012, NATIONAL TAX JOURNAL, V24, P145; GAMA C., 2019, JOURNAL OF PUBLIC ECONOMICS, V21, P381; ETA D., 2014, GESTION Y POLITICA PUBLICA, V53, P3; GAMA B., 2025, INTERNATIONAL TAX AND PUBLIC FINANCE, V58, P189",Article,English,Editora Sintetica,09275940
Eta B.; Kapa D.; Kapa E.,The political economy of Canada: Intergovernmental transfers and the role of Fiscal equalization [registro sintetico 085],2009,Journal of Public Economics,1,1,1,14,10.5555/exemplo.0085,"Universidad Nacional Autonoma de Mexico, Mexico","Resumo sintetico para teste do pipeline. Trata de fiscal federalism, municipal finance em entes subnacionais.",fiscal federalism; municipal finance; fiscal equalization; state capacity; revenue sharing,"ETA E., 1990, INTERNATIONAL TAX AND PUBLIC FINANCE, V18, P265; DELTA B., 1994, JOURNAL OF PUBLIC ECONOMICS, V12, P250; IOTA A., 2009, INTERNATIONAL TAX AND PUBLIC FINANCE, V31, P39; ETA E., 2004, NOVA ECONOMIA, V46, P131; BETA A., 2003, NATIONAL TAX JOURNAL, V23, P253; DELTA D., 1981, PUBLIUS: THE JOURNAL OF FEDERALISM, V24, P132; GAMA D., 1983, NATIONAL TAX JOURNAL, V54, P84; DELTA E., 1994, GESTION Y POLITICA PUBLICA, V39, P78; DELTA D., 1987, PUBLIUS: THE JOURNAL OF FEDERALISM, V1, P56; ETA C., 2002, NOVA ECONOMIA, V47, P121; IOTA E., 1988, GESTION Y POLITICA PUBLICA, V7, P150; KAPA A., 1987, GESTION Y POLITICA PUBLICA, V41, P85; DELTA F., 1983, REVISTA DE ADMINISTRACAO PUBLICA, V33, P299; TETA B., 1994, NATIONAL TAX JOURNAL, V10, P108; IOTA C., 1988, JOURNAL OF PUBLIC ECONOMICS, V54, P27; ZETA D., 1981, INTERNATIONAL TAX AND PUBLIC FINANCE, V25, P131; TETA B., 1987, GESTION Y POLITICA PUBLICA, V48, P59",Article,English,Editora Sintetica,00472727
